Rk,Player,Pos,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
61,Avery Bradley\bradlav01,SG,46,1433,.474,.768,116,94,51,8,101,92,656
61,Avery Bradley\bradlav01,SG,40,1268,.474,.763,94,83,46,7,93,80,601
61,Avery Bradley\bradlav01,SG,6,165,.482,1.000,22,11,5,1,8,12,55
62,Tony Bradley\bradlto01,C,9,29,.273,1.000,11,1,0,0,0,1,8
63,Corey Brewer\breweco01,SF-SG,72,1208,.498,.722,154,65,79,14,49,139,380
63,Corey Brewer\breweco01,SF,54,694,.477,.667,93,41,41,8,38,83,198
63,Corey Brewer\breweco01,SG,18,514,.524,.795,61,24,38,6,11,56,182
64,Malcolm Brogdon\brogdma01,PG,48,1436,.547,.882,156,152,41,13,66,128,625
65,Aaron Brooks\brookaa01,PG,32,189,.486,.727,17,20,6,0,11,28,75
66,Dillon Brooks\brookdi01,SF,82,2350,.501,.747,257,135,73,17,124,233,898
67,MarShon Brooks\brookma01,SG,7,193,.593,.870,21,25,11,3,16,6,141
68,Anthony Brown\brownan02,SF,1,4,1.500,,0,1,0,0,0,0,3
69,Bobby Brown\brownbo02,PG,20,115,.422,.500,7,11,4,0,9,6,50
70,Jaylen Brown\brownja02,SG,70,2152,.540,.644,346,114,70,26,124,181,1017
71,Lorenzo Brown\brownlo01,PG,14,139,.441,1.000,15,13,5,0,3,7,32
72,Markel Brown\brownma02,SG,4,31,.357,,5,2,0,0,2,6,5
73,Sterling Brown\brownst02,SG,54,776,.478,.875,143,25,31,13,25,80,217
74,Nicolas Brussino\brussni01,SF,4,10,.000,,3,0,0,0,0,0,0
75,Thomas Bryant\bryanth01,C,15,72,.405,.556,17,6,1,2,2,6,22
76,Reggie Bullock\bullore01,SF,62,1732,.603,.796,154,95,47,13,47,70,698
77,Trey Burke\burketr01,PG,36,785,.552,.649,71,170,24,4,43,43,461
78,Alec Burks\burksal01,SG,64,1059,.467,.863,192,67,37,8,60,75,494
79,Jimmy Butler\butleji01,SG,59,2164,.512,.854,314,288,116,24,108,78,1307
80,Dwight Buycks\buyckdw01,PG,29,427,.452,.878,41,59,19,2,39,39,215
81,Bruno Caboclo\cabocbr01,SF,12,107,.339,.833,22,4,3,4,4,8,26
81,Bruno Caboclo\cabocbr01,SF,2,7,.000,,1,1,1,0,0,1,0
81,Bruno Caboclo\cabocbr01,SF,10,100,.362,.833,21,3,2,4,4,7,26
82,Jose Calderon\caldejo01,PG,57,914,.624,.800,84,117,27,2,41,81,255
83,Kentavious Caldwell-Pope\caldwke01,SG,74,2458,.526,.789,387,162,106,16,97,145,992
84,Isaiah Canaan\canaais01,PG-SG,20,422,.460,.902,45,76,16,1,29,36,172
84,Isaiah Canaan\canaais01,SG,1,4,.000,,1,0,0,0,0,0,0
84,Isaiah Canaan\canaais01,PG,19,418,.463,.902,44,76,16,1,29,36,172
85,Clint Capela\capelca01,C,74,2034,.652,.560,802,68,58,137,103,185,1026
86,DeMarre Carroll\carrode01,SF,73,2180,.506,.764,479,147,59,30,103,165,983
87,Vince Carter\cartevi01,SF,58,1026,.504,.757,148,69,42,26,36,96,313
88,Michael Carter-Williams\cartemi01,PG,52,835,.362,.820,138,116,44,23,52,99,239
89,Alex Caruso\carusal01,PG,37,562,.487,.700,65,75,23,10,42,52,134
90,Omri Casspi\casspom01,SF,53,740,.604,.725,200,51,18,19,37,71,300
91,Willie Cauley-Stein\caulewi01,C,73,2044,.504,.619,510,172,77,67,109,185,932
92,Tyler Cavanaugh\cavanty01,PF,39,518,.546,.810,127,27,9,4,14,61,183
93,Mario Chalmers\chalmma01,PG,66,1421,.439,.855,157,197,79,14,117,179,507
94,Tyson Chandler\chandty01,C,46,1151,.647,.624,418,53,16,27,59,106,300
95,Wilson Chandler\chandwi01,SF,74,2346,.515,.772,398,159,43,39,92,156,738
96,Marquese Chriss\chrisma01,PF,72,1527,.482,.608,395,83,51,70,107,205,556
97,Ian Clark\clarkia01,SG,74,1455,.511,.763,127,110,33,10,57,120,551
98,Jordan Clarkson\clarkjo01,SG,81,1888,.509,.800,217,221,58,6,127,107,1124
98,Jordan Clarkson\clarkjo01,SG,53,1256,.499,.795,159,173,39,3,95,63,771
98,Jordan Clarkson\clarkjo01,SG,28,632,.533,.810,58,48,19,3,32,44,353
99,Gian Clavell\clavegi01,SG,7,64,.500,1.000,7,3,2,0,2,8,20
100,Antonius Cleveland\clevean01,SG,17,123,.452,.667,14,2,7,5,7,23,23
100,Antonius Cleveland\clevean01,SG,13,81,.286,.500,10,2,6,4,2,11,10
100,Antonius Cleveland\clevean01,SG,4,42,.786,1.000,4,0,1,1,5,12,13
101,John Collins\collijo01,PF,74,1785,.591,.715,541,98,47,80,105,215,777
