Rk,Player,Pos,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
255,Brice Johnson\johnsbr02,PF,9,60,.419,.333,18,1,3,4,1,6,27
256,Dakari Johnson\johnsda04,C,31,161,.564,.550,34,8,6,8,3,27,55
257,James Johnson\johnsja01,PF,73,1943,.550,.698,358,280,70,51,141,192,788
258,Joe Johnson\johnsjo02,SF,55,1205,.461,.889,172,83,18,7,49,67,372
258,Joe Johnson\johnsjo02,SF,32,700,.471,.833,107,45,12,6,31,32,233
258,Joe Johnson\johnsjo02,SF,23,505,.444,.952,65,38,6,1,18,35,139
259,Omari Johnson\johnsom01,PF,4,75,.524,,11,7,2,0,3,6,22
260,Stanley Johnson\johnsst04,SF,69,1894,.435,.772,252,112,95,14,77,169,599
261,Tyler Johnson\johnsty01,PG,72,2052,.518,.822,248,165,60,34,81,148,843
262,Wesley Johnson\johnswe01,SF,74,1486,.489,.741,216,61,76,62,55,146,403
263,Nikola Jokic\jokicni01,C,75,2443,.554,.850,803,458,90,61,210,212,1385
264,Damian Jones\jonesda03,C,15,89,.500,.600,14,2,1,3,4,14,25
265,Derrick Jones\jonesde02,SF,20,245,.425,.667,38,9,4,13,7,24,61
265,Derrick Jones\jonesde02,SF,6,33,.500,.833,4,3,1,4,1,2,9
265,Derrick Jones\jonesde02,SF,14,212,.418,.611,34,6,3,9,6,22,52
266,Jalen Jones\jonesja04,SF,16,181,.456,.632,38,4,5,1,7,22,74
266,Jalen Jones\jonesja04,SF,4,19,.375,1.000,3,0,0,0,0,2,5
266,Jalen Jones\jonesja04,SF,12,162,.461,.588,35,4,5,1,7,20,69
267,Tyus Jones\jonesty01,PG,82,1467,.526,.877,132,232,95,6,59,110,416
268,DeAndre Jordan\jordade01,C,77,2424,.645,.580,1171,117,39,71,137,203,927
269,Cory Joseph\josepco01,PG,82,2210,.479,.745,263,260,80,18,87,141,649
270,Frank Kaminsky\kaminfr01,PF,79,1835,.501,.799,288,129,36,19,66,95,873
271,Enes Kanter\kanteen01,C,71,1830,.592,.848,780,105,36,37,122,187,1000
272,Luke Kennard\kennalu01,SG,73,1463,.530,.855,176,124,44,13,69,86,558
273,Michael Kidd-Gilchrist\kiddgmi01,SF,74,1850,.504,.684,302,71,51,32,53,143,681
274,Sean Kilpatrick\kilpase01,SG,52,640,.452,.889,87,46,13,5,38,33,330
274,Sean Kilpatrick\kilpase01,SG,16,183,.351,.947,35,15,2,1,16,8,79
274,Sean Kilpatrick\kilpase01,SG,23,205,.457,.947,25,15,5,1,9,15,93
274,Sean Kilpatrick\kilpase01,SG,4,38,.472,1.000,2,3,0,0,1,2,19
274,Sean Kilpatrick\kilpase01,SG,9,214,.528,.813,25,13,6,3,12,8,139
275,Maxi Kleber\klebima01,PF,72,1206,.553,.746,234,51,26,47,30,114,386
276,Furkan Korkmaz\korkmfu01,SG,14,80,.375,.500,11,4,2,1,2,12,23
277,Luke Kornet\kornelu01,PF,20,326,.504,.727,64,26,6,16,12,28,134
278,Kyle Korver\korveky01,SG,73,1574,.628,.889,165,88,31,27,55,130,672
279,Kosta Koufos\koufoko01,C,71,1391,.571,.446,472,87,47,32,49,146,477
280,Kyle Kuzma\kuzmaky01,PF,77,2401,.527,.707,483,141,49,34,140,160,1242
281,Mindaugas Kuzminskas\kuzmimi01,SF,1,2,.000,,0,0,0,0,0,0,0
282,Skal Labissiere\labissk01,PF,60,1240,.467,.805,288,72,25,49,73,132,523
283,Jeremy Lamb\lambje01,SG,80,1967,.513,.861,324,186,61,32,93,138,1033
284,Shane Larkin\larkish01,PG,54,775,.454,.865,92,98,29,2,33,58,231
285,Joffrey Lauvergne\lauvejo01,C,55,534,.516,.638,171,41,9,3,33,45,226
286,Zach LaVine\lavinza01,SG,24,656,.442,.813,94,72,24,4,43,55,401
287,Jake Layman\laymaja01,SF,35,160,.340,.667,16,11,6,4,5,13,34
288,T.J. Leaf\leaftj01,PF,53,459,.537,.625,82,9,5,4,10,45,156
289,Courtney Lee\leeco01,SG,76,2310,.529,.919,224,180,80,17,84,109,913
290,Damion Lee\leeda03,SG,15,404,.457,.759,71,29,19,1,14,25,161
291,Walt Lemon Jr.\lemonwa01,PG,5,35,.469,.667,2,5,0,1,4,5,17
292,Alex Len\lenal01,C,69,1395,.567,.684,518,82,27,61,78,158,587
293,Kawhi Leonard\leonaka01,SF,9,210,.518,.816,42,21,18,9,16,9,146
294,Meyers Leonard\leoname01,C,33,254,.660,.818,70,17,7,0,10,36,112
295,Jon Leuer\leuerjo01,PF,8,136,.417,.867,32,5,1,3,7,16,43
296,Caris LeVert\leverca01,SF,71,1864,.493,.711,260,299,82,22,153,159,858
297,DeAndre Liggins\liggide01,SG,58,724,.467,.400,75,48,37,14,20,81,101
297,DeAndre Liggins\liggide01,SG,31,480,.423,.400,49,27,27,10,13,61,57
297,DeAndre Liggins\liggide01,SG,27,244,.537,,26,21,10,4,7,20,44
298,Damian Lillard\lillada01,PG,73,2670,.519,.916,325,481,77,27,206,117,1962
299,Jeremy Lin\linje01,PG,1,25,.458,1.000,0,4,0,0,3,3,18
300,Shaun Livingston\livinsh01,PG,71,1129,.501,.820,131,140,35,21,58,117,394
301,Kevon Looney\looneke01,C,66,910,.583,.545,215,42,34,56,31,106,267
302,Brook Lopez\lopezbr01,C,74,1735,.536,.703,294,126,30,98,98,195,961
303,Robin Lopez\lopezro01,C,64,1690,.533,.756,290,124,14,53,107,109,756
304,Kevin Love\loveke01,C,59,1651,.552,.880,546,103,43,24,90,120,1039
305,Kyle Lowry\lowryky01,PG,78,2510,.553,.854,434,537,85,19,183,192,1267
306,Timothe Luwawu-Cabarrot\luwawti01,SF,52,807,.474,.793,72,54,12,5,38,97,299
307,Tyler Lydon\lydonty01,PF,1,2,,,0,0,0,0,0,0,0
308,Trey Lyles\lylestr01,PF,73,1391,.566,.706,347,91,30,34,61,111,724
309,Shelvin Mack\macksh01,PG,69,1365,.488,.711,166,272,54,8,89,91,473
310,Josh Magette\magetjo01,PG,18,216,.413,1.000,19,57,8,1,9,16,46
311,Ian Mahinmi\mahinia01,C,77,1145,.556,.703,312,53,38,42,100,230,366
312,Thon Maker\makerth01,C,74,1238,.460,.699,225,46,38,53,44,162,356
313,Boban Marjanovic\marjabo01,C,39,337,.534,.794,144,22,10,11,36,51,235
313,Boban Marjanovic\marjabo01,C,19,171,.519,.800,57,14,4,6,22,28,118
313,Boban Marjanovic\marjabo01,C,20,166,.551,.788,87,8,6,5,14,23,117
314,Lauri Markkanen\markkla01,PF,68,2020,.518,.843,508,79,39,40,83,103,1033
315,Jarell Martin\martija01,PF,73,1661,.480,.767,318,73,39,49,86,211,565
316,Frank Mason\masonfr01,PG,52,984,.420,.817,130,147,34,10,65,72,413
317,Mangok Mathiang\mathima01,C,4,20,.571,.000,10,0,1,0,0,5,8
318,Wesley Matthews\matthwe02,SF,63,2131,.516,.822,198,172,76,16,83,140,802
319,Luc Mbah a Moute\mbahalu01,PF,61,1564,.572,.684,186,55,72,25,68,100,460
320,James Michael McAdoo\mcadoja01,PF,3,18,.429,1.000,2,0,0,1,1,1,8
321,Patrick McCaw\mccawpa01,SG,57,961,.451,.765,82,81,43,10,41,67,229
322,CJ McCollum\mccolcj01,SG,81,2923,.506,.836,321,272,77,35,151,168,1732
323,T.J. McConnell\mccontj01,PG,76,1706,.531,.795,226,303,92,13,112,122,478
324,Erik McCree\mccreer01,SF,4,8,.000,,1,0,1,0,1,0,0
325,Chris McCullough\mcculch01,PF,19,90,.440,.643,25,4,0,5,2,8,46
326,Doug McDermott\mcderdo01,SF,81,1768,.557,.790,200,79,19,16,56,122,630
326,Doug McDermott\mcderdo01,SF,55,1172,.541,.755,134,50,10,12,34,73,395
326,Doug McDermott\mcderdo01,SF,26,596,.586,.857,66,29,9,4,22,49,235
327,JaVale McGee\mcgeeja01,C,65,615,.621,.731,169,33,21,57,27,91,310
328,Rodney McGruder\mcgruro01,SG,18,299,.596,.500,32,17,8,3,4,21,91
329,Trey McKinney-Jones\mckintr01,SG,1,1,,,0,0,0,0,0,0,0
330,Alfonzo McKinnie\mckinal01,SF,14,53,.633,.667,7,1,1,1,3,8,21
331,Ben McLemore\mclembe01,SG,56,1091,.495,.828,139,51,38,15,61,139,422
332,Josh McRoberts\mcrobjo01,PF,2,6,.000,,0,0,0,0,0,2,0
333,Jodie Meeks\meeksjo01,SG,77,1119,.491,.863,126,70,29,4,37,55,487
334,Salah Mejri\mejrisa01,C,61,729,.642,.576,246,35,22,67,39,121,214
335,Jordan Mickey\mickejo01,PF,23,284,.488,.684,81,9,6,10,18,36,93
336,Khris Middleton\middlkh01,SF,82,2982,.524,.884,429,328,119,21,191,270,1652
337,C.J. Miles\milescj01,SF,70,1337,.516,.835,152,55,37,21,39,134,699
338,Darius Miller\milleda01,SF,82,1944,.594,.866,164,111,28,17,58,160,637
339,Malcolm Miller\millema01,SF,15,126,.607,1.000,15,3,1,2,5,10,38
340,Patty Mills\millspa02,PG,82,2107,.523,.890,154,229,55,11,106,128,819
341,Paul Millsap\millspa01,PF,38,1143,.509,.696,245,105,39,44,73,99,555
342,Nikola Mirotic\mirotni01,PF,55,1494,.546,.818,405,80,44,39,62,108,859
342,Nikola Mirotic\mirotni01,PF,25,622,.588,.823,159,39,15,13,31,45,420
342,Nikola Mirotic\mirotni01,PF,30,872,.513,.810,246,41,29,26,31,63,439
343,Donovan Mitchell\mitchdo01,SG,79,2638,.506,.805,296,291,118,27,215,213,1616
344,Naz Mitrou-Long\mitrona01,SG,1,1,1.500,,0,0,0,0,0,0,3
345,Malik Monk\monkma01,SG,63,854,.458,.842,66,91,20,9,49,60,421
346,Greg Monroe\monrogr01,C,51,1040,.565,.739,350,114,44,23,94,95,524
346,Greg Monroe\monrogr01,C,5,79,.485,.500,25,5,0,0,6,7,34
346,Greg Monroe\monrogr01,C,20,465,.626,.674,160,50,16,6,40,40,225
346,Greg Monroe\monrogr01,C,26,496,.530,.797,165,59,28,17,48,48,265
347,Luis Montero\montelu01,SG,2,8,.000,,2,0,0,0,2,0,0
348,Ben Moore\moorebe01,PF,2,9,,,1,1,0,0,0,4,0
349,E'Twaun Moore\mooreet01,SG,82,2586,.585,.706,238,187,79,12,102,182,1022
350,Eric Moreland\moreler01,PF,67,805,.541,.379,278,78,31,51,42,116,143
351,Jaylen Morris\morrija01,SG,6,98,.438,,16,7,2,1,6,2,28
352,Marcus Morris\morrima03,PF,54,1447,.499,.805,289,72,35,12,65,100,734
353,Markieff Morris\morrima02,PF,73,1968,.536,.820,409,142,56,38,127,216,841
354,Monte Morris\morrimo01,PG,3,25,.667,1.000,2,7,3,0,1,1,10
355,Johnathan Motley\motlejo01,PF,11,176,.540,.536,49,7,3,2,9,18,96
356,Timofey Mozgov\mozgoti01,C,31,359,.581,.767,98,11,5,13,33,39,131
357,Emmanuel Mudiay\mudiaem01,PG,64,1245,.433,.760,152,206,41,11,113,80,553
357,Emmanuel Mudiay\mudiaem01,PG,42,752,.460,.808,94,121,21,4,72,47,359
357,Emmanuel Mudiay\mudiaem01,PG,22,493,.390,.686,58,85,20,7,41,33,194
358,Shabazz Muhammad\muhamsh01,SF-SG,43,418,.465,.780,76,14,9,3,6,30,214
358,Shabazz Muhammad\muhamsh01,SF,32,301,.405,.710,45,7,5,2,5,23,120
358,Shabazz Muhammad\muhamsh01,SG,11,117,.575,.895,31,7,4,1,1,7,94
359,Xavier Munford\munfoxa02,SG,6,21,.167,.500,1,4,1,0,2,4,3
360,Dejounte Murray\murrade01,PG,81,1743,.451,.709,459,231,97,31,134,151,654
361,Jamal Murray\murraja01,PG,81,2565,.529,.905,297,274,79,28,172,173,1352
362,Mike Muscala\muscami01,C,53,1060,.558,.919,230,51,31,27,42,80,405
363,Abdel Nader\naderab01,SF,48,522,.413,.590,71,26,15,10,34,45,146
364,Larry Nance\nancela02,C,66,1421,.584,.664,452,82,88,38,51,172,573
364,Larry Nance\nancela02,C,42,922,.603,.632,284,57,59,20,41,113,360
364,Larry Nance\nancela02,C,24,499,.553,.720,168,25,29,18,10,59,213
365,Shabazz Napier\napiesh01,PG,74,1535,.497,.841,170,150,81,14,90,84,644
366,Jameer Nelson\nelsoja01,PG,50,1013,.473,.800,104,179,27,4,67,81,247
366,Jameer Nelson\nelsoja01,PG,43,897,.507,.765,96,156,23,3,56,67,221
366,Jameer Nelson\nelsoja01,PG,7,116,.295,1.000,8,23,4,1,11,14,26
367,Raul Neto\netora01,PG,41,498,.520,.743,49,75,13,4,36,38,183
368,Georges Niang\niangge01,PF,9,32,.364,.500,9,3,2,0,3,1,9
369,Joakim Noah\noahjo01,C,7,40,.500,.500,14,4,2,2,4,5,12
370,Nerlens Noel\noelne01,C,30,472,.524,.750,168,20,31,22,26,59,131
371,Lucas Nogueira\noguelu01,C,49,418,.644,.679,87,22,23,43,16,49,122
372,Dirk Nowitzki\nowitdi01,C,77,1900,.547,.898,438,120,43,45,51,146,927
373,Frank Ntilikina\ntilila01,PG,78,1706,.414,.721,177,250,65,18,131,181,463
374,Jusuf Nurkic\nurkiju01,C,79,2088,.505,.630,708,143,64,111,183,247,1132
375,David Nwaba\nwabada01,SG,70,1646,.499,.655,326,104,59,29,77,158,555
376,Johnny O'Bryant\obryajo01,PF,36,379,.439,.840,93,14,9,6,15,45,171
377,Royce O'Neale\onealro01,SF,69,1150,.496,.803,236,95,36,16,55,105,343
378,Kyle O'Quinn\oquinky01,C,77,1387,.589,.772,470,158,36,98,100,192,550
379,Semi Ojeleye\ojelese01,PF,73,1150,.452,.610,161,20,21,4,25,91,195
380,Emeka Okafor\okafoem01,C,26,353,.505,.818,120,8,8,25,13,30,114
381,Jahlil Okafor\okafoja01,C,28,353,.562,.724,85,12,3,18,21,51,176
381,Jahlil Okafor\okafoja01,C,2,25,.444,.500,9,1,0,2,3,7,10
381,Jahlil Okafor\okafoja01,C,26,328,.570,.760,76,11,3,16,18,44,166
382,Victor Oladipo\oladivi01,SG,75,2552,.537,.799,390,323,177,57,219,175,1735
383,Kelly Olynyk\olynyke01,PF,76,1779,.580,.770,431,207,62,35,147,222,872
384,Chinanu Onuaku\onuakch01,C,1,22,.400,,4,1,0,0,3,4,4
385,Cedi Osman\osmande01,SF,61,672,.570,.565,120,41,22,3,32,78,238
386,Kelly Oubre\oubreke01,SF,81,2231,.482,.820,363,98,80,35,90,234,953
387,Zaza Pachulia\pachuza01,C,69,972,.564,.806,321,109,38,17,72,122,373
388,Marcus Paige\paigema01,PG,5,28,.357,1.000,4,3,0,0,0,0,12
389,Georgios Papagiannis\papagge01,C,17,122,.429,,37,9,4,6,8,12,36
389,Georgios Papagiannis\papagge01,C,16,118,.415,,36,9,2,6,8,12,34
389,Georgios Papagiannis\papagge01,C,1,4,1.000,,1,0,2,0,0,0,2
390,Jabari Parker\parkeja01,PF,31,743,.529,.741,151,59,25,10,45,50,391
391,Tony Parker\parketo01,PG,55,1071,.472,.705,95,195,28,1,68,52,421
392,Chandler Parsons\parsoch01,SF,36,691,.571,.630,90,69,18,11,35,53,284
393,Patrick Patterson\pattepa01,PF,82,1270,.523,.870,193,57,48,23,33,87,318
394,Justin Patton\pattoju01,C,1,4,.500,,0,0,1,0,0,1,2
395,Brandon Paul\paulbr01,SG,64,576,.492,.512,68,37,25,7,29,58,147
396,Chris Paul\paulch01,PG,58,1847,.550,.919,313,457,96,14,128,141,1081
397,Adreian Payne\paynead01,PF,5,43,.800,.833,9,0,2,0,2,6,21
398,Cameron Payne\payneca01,PG,25,582,.486,.750,69,113,26,9,36,44,221
399,Elfrid Payton\paytoel01,PG,63,1808,.516,.649,274,393,83,22,168,147,797
399,Elfrid Payton\paytoel01,PG,44,1257,.547,.632,174,275,64,16,114,97,573
399,Elfrid Payton\paytoel01,PG,19,551,.447,.685,100,118,19,6,54,50,224
400,Gary Payton\paytoga02,PG,23,221,.446,.333,44,21,7,3,7,30,69
400,Gary Payton\paytoga02,PG,12,106,.424,.667,17,9,3,1,3,17,30
400,Gary Payton\paytoga02,PG,11,115,.463,.167,27,12,4,2,4,13,39
401,Kendrick Perkins\perkike01,C,1,15,.500,.500,1,2,1,0,1,1,3
402,London Perrantes\perralo01,PG,14,66,.154,.600,4,5,2,1,1,6,7
403,Alec Peters\peteral01,PF,20,225,.500,.800,37,12,2,2,4,13,82
404,Marshall Plumlee\plumlma02,C,8,52,.333,.750,17,2,0,1,3,10,14
405,Mason Plumlee\plumlma01,C,74,1439,.601,.458,400,142,49,81,103,184,524
406,Miles Plumlee\plumlmi01,C,55,918,.583,.450,228,45,17,30,63,79,237
407,Jakob Poeltl\poeltja01,C,82,1524,.660,.594,393,57,39,100,85,212,567
408,Quincy Pondexter\pondequ01,SF,23,196,.316,.824,27,9,8,2,11,24,45
409,Otto Porter\porteot01,SF,77,2432,.581,.828,492,157,116,41,75,151,1134
410,Bobby Portis\portibo01,PF,73,1643,.520,.769,498,123,50,23,103,130,964
411,Kristaps Porzingis\porzikr01,PF,48,1553,.489,.793,316,57,36,115,93,141,1088
412,Dwight Powell\poweldw01,C,79,1672,.626,.719,444,91,67,32,59,186,671
413,Norman Powell\powelno01,SG,70,1062,.472,.821,119,89,37,16,66,111,385
414,Alex Poythress\poythal01,PF,25,104,.500,,17,2,3,1,2,16,26
415,Jacob Pullen\pulleja01,PG,3,6,.500,,0,0,0,0,1,0,2
416,Rodney Purvis\purviro01,SG,16,290,.388,.867,27,17,3,3,10,26,96
417,Zhou Qi\qizh01,C,18,124,.219,.667,22,2,2,14,10,14,22
418,Tim Quarterman\quartti01,SG,3,13,.333,1.000,3,1,0,0,2,1,4
419,Ivan Rabb\rabbiv01,PF,36,516,.566,.806,158,32,12,13,35,55,201
420,Julius Randle\randlju01,C,82,2190,.563,.718,654,210,43,45,213,274,1323
421,Zach Randolph\randoza01,PF,59,1508,.507,.785,397,127,42,10,116,119,857
422,Xavier Rathan-Mayes\rathaxa01,SG,5,118,.298,.444,5,18,6,3,11,18,29
423,J.J. Redick\redicjj01,SG,70,2116,.569,.904,178,210,35,6,103,123,1198
424,Davon Reed\reedda01,SG,21,242,.362,.667,39,13,10,2,10,17,63
425,Willie Reed\reedwi02,C,42,428,.674,.582,121,10,9,22,19,56,195
425,Willie Reed\reedwi02,C,39,419,.671,.582,120,9,9,22,19,53,193
425,Willie Reed\reedwi02,C,3,9,1.000,,1,1,0,0,0,3,2
426,Josh Richardson\richajo01,SF,81,2689,.523,.845,285,231,121,75,140,199,1045
427,Malachi Richardson\richama01,SG,26,324,.400,.773,34,13,10,1,10,27,89
427,Malachi Richardson\richama01,SG,25,319,.398,.773,33,13,10,1,10,27,87
427,Malachi Richardson\richama01,SG,1,5,.500,,1,0,0,0,0,0,2
428,Austin Rivers\riverau01,SG,61,2057,.508,.642,145,242,74,16,109,152,920
429,Andre Roberson\roberan03,SG,39,1037,.562,.316,185,46,45,35,30,89,194
430,Devin Robinson\robinde01,SF,1,13,.333,,5,0,1,0,0,2,2
431,Glenn Robinson\robingl02,SF,23,338,.506,.818,37,17,13,1,5,14,95
432,Rajon Rondo\rondora01,PG,65,1705,.518,.543,263,533,70,10,151,119,537
433,Derrick Rose\rosede01,PG,25,420,.454,.870,35,37,7,4,35,16,209
433,Derrick Rose\rosede01,PG,16,308,.462,.854,29,26,3,4,28,14,157
433,Derrick Rose\rosede01,PG,9,112,.435,1.000,6,11,4,0,7,2,52
434,Terrence Ross\rosste01,SG,24,600,.476,.750,73,38,27,11,29,45,209
435,Terry Rozier\roziete01,PG,80,2068,.491,.772,376,232,80,19,80,123,900
436,Ricky Rubio\rubiori01,PG,77,2254,.476,.866,351,410,121,11,207,206,1008
437,D'Angelo Russell\russeda01,PG,48,1234,.481,.740,189,249,36,17,147,93,743
438,Domantas Sabonis\sabondo01,C,74,1810,.524,.750,572,151,40,32,137,220,861
439,JaKarr Sampson\sampsja02,SF,22,344,.574,.625,78,9,8,22,8,48,103
440,Dario Saric\saricda01,PF,78,2310,.541,.860,520,202,51,20,148,160,1141
441,Tomas Satoransky\satorto01,SG,73,1643,.585,.781,233,286,52,15,83,131,524
442,Dennis Schroder\schrode01,PG,67,2078,.469,.849,208,417,72,6,183,147,1301
443,Mike Scott\scottmi01,PF,76,1406,.590,.658,247,80,23,10,79,148,668
444,Thabo Sefolosha\sefolth01,SF,38,806,.558,.815,161,33,52,12,30,59,312
445,Wayne Selden\seldewa01,SG,35,692,.522,.746,56,66,18,5,54,59,325
446,Ramon Sessions\sessira01,PG,28,392,.393,.772,38,77,14,2,30,29,136
446,Ramon Sessions\sessira01,PG,13,167,.340,.800,18,27,7,1,15,14,48
446,Ramon Sessions\sessira01,PG,15,225,.438,.762,20,50,7,1,15,15,88
447,Iman Shumpert\shumpim01,SG,14,276,.440,.733,41,17,9,4,16,22,62
448,Pascal Siakam\siakapa01,PF,81,1679,.537,.621,364,159,62,42,67,166,589
449,Xavier Silas\silasxa01,SG,2,7,.000,,2,0,1,0,0,1,0
450,Ben Simmons\simmobe01,PG,81,2732,.545,.560,659,661,140,70,278,211,1279
451,Jonathon Simmons\simmojo02,SG,69,2029,.511,.768,239,171,58,16,146,175,962
452,Kobi Simmons\simmoko01,PG,32,643,.452,1.000,50,68,18,5,44,61,196
453,Kyle Singler\singlky01,SF,12,59,.381,.538,10,2,1,0,3,4,23
454,Marcus Smart\smartma01,SG,54,1614,.440,.729,189,259,71,23,129,133,550
455,Dennis Smith\smithde03,PG,69,2049,.446,.694,260,358,71,18,194,152,1048
456,Ish Smith\smithis01,PG,82,2043,.507,.698,224,360,64,20,108,140,894
457,J.R. Smith\smithjr01,SG,80,2244,.524,.696,235,141,68,11,81,161,662
458,Jason Smith\smithja02,C,33,285,.409,.905,53,14,3,13,16,44,113
459,Josh Smith\smithjo03,PF,3,12,.250,,4,0,0,0,0,3,2
460,Tony Snell\snellto01,SG,75,2053,.562,.792,141,98,47,28,36,115,516
461,Marreese Speights\speigma01,C,52,675,.519,.727,133,40,8,22,40,106,402
462,Nik Stauskas\stausni01,SG,41,523,.519,.724,64,39,9,4,26,24,181
462,Nik Stauskas\stausni01,SG,6,45,.250,1.000,1,1,4,0,4,3,4
462,Nik Stauskas\stausni01,SG,35,478,.527,.704,63,38,5,4,22,21,177
463,Lance Stephenson\stephla01,SG,82,1850,.475,.661,424,235,46,17,131,177,757
464,David Stockton\stockda01,PG,3,9,1.000,1.000,0,0,0,0,1,3,10
465,Julyan Stone\stoneju01,SG,23,175,.692,.500,29,26,4,2,7,21,19
466,Edmond Sumner\sumneed01,PG,1,2,1.000,,1,0,0,0,0,1,2
467,Caleb Swanigan\swanica01,PF,27,189,.408,.667,54,14,5,3,18,37,61
468,Jayson Tatum\tatumja01,SF,80,2438,.538,.826,402,128,83,58,114,170,1112
469,Isaiah Taylor\taylois01,PG,67,1167,.444,.702,94,206,34,10,84,116,445
470,Jeff Teague\teaguje01,PG,70,2311,.499,.845,209,492,102,23,177,171,994
471,Marquis Teague\teaguma01,PG,3,74,.281,.400,6,13,4,0,3,5,11
472,Mirza Teletovic\teletmi01,PF,10,159,.623,,23,10,4,1,7,14,71
473,Garrett Temple\templga01,SG,65,1615,.512,.769,152,124,57,27,79,135,547
474,Milos Teodosic\teodomi01,PG,45,1134,.542,.848,126,209,23,5,97,103,429
475,Jason Terry\terryja01,SG,51,814,.513,.889,48,59,42,13,25,52,166
476,Daniel Theis\theisda01,C,63,936,.579,.753,274,56,30,48,56,157,331
477,Isaiah Thomas\thomais02,PG,32,862,.438,.893,67,153,15,3,95,58,486
477,Isaiah Thomas\thomais02,PG,15,406,.418,.868,31,68,9,2,41,25,221
477,Isaiah Thomas\thomais02,PG,17,456,.456,.921,36,85,6,1,54,33,265
478,Lance Thomas\thomala01,PF,73,1353,.476,.830,175,44,30,14,40,134,298
479,Klay Thompson\thompkl01,SG,73,2506,.585,.837,277,185,55,34,128,117,1461
480,Tristan Thompson\thomptr01,C,53,1072,.562,.544,352,33,16,17,36,102,307
481,Sindarius Thornwell\thornsi01,SG,73,1156,.479,.670,140,68,48,25,53,125,282
482,Anthony Tolliver\tollian01,PF,79,1757,.632,.797,241,90,32,21,58,144,703
483,Karl-Anthony Towns\townska01,C,82,2918,.596,.858,1012,199,64,115,159,285,1743
484,P.J. Tucker\tuckepj01,PF,82,2281,.520,.717,457,77,78,26,74,205,502
485,Evan Turner\turneev01,SF,79,2034,.484,.850,244,173,47,29,99,163,649
486,Myles Turner\turnemy01,C,65,1836,.523,.777,417,87,38,118,96,186,828
487,Ekpe Udoh\udohek01,C,63,810,.500,.750,150,53,43,74,20,105,162
488,Tyler Ulis\ulisty01,PG,71,1658,.426,.832,128,311,70,7,127,120,554
489,Jonas Valanciunas\valanjo01,C,77,1727,.590,.806,660,81,29,69,115,192,980
490,Denzel Valentine\valende01,SG,77,2095,.517,.745,393,244,65,11,99,185,783
491,Fred VanVleet\vanvlfr01,PG,76,1520,.525,.832,184,243,68,19,74,130,656
492,Rashad Vaughn\vaughra01,SG,28,212,.536,.667,21,13,5,3,6,15,64
492,Rashad Vaughn\vaughra01,SG,22,173,.550,.667,17,12,4,3,4,12,59
492,Rashad Vaughn\vaughra01,SG,1,4,,,0,1,0,0,0,1,0
492,Rashad Vaughn\vaughra01,SG,5,35,.417,,4,0,1,0,2,2,5
493,Noah Vonleh\vonleno01,PF,54,875,.487,.621,311,34,19,17,31,68,264
493,Noah Vonleh\vonleno01,PF,33,476,.500,.742,167,13,6,11,15,42,119
493,Noah Vonleh\vonleno01,PF,21,399,.478,.481,144,21,13,6,16,26,145
494,Nikola Vucevic\vucevni01,C,57,1683,.513,.819,523,191,56,62,109,144,939
495,Dwyane Wade\wadedw01,SG,67,1536,.462,.714,252,228,61,47,140,124,765
495,Dwyane Wade\wadedw01,SG,46,1069,.482,.701,181,163,42,32,92,84,513
495,Dwyane Wade\wadedw01,SG,21,467,.427,.745,71,65,19,15,48,40,252
496,Dion Waiters\waitedi01,SG,30,918,.461,.739,77,113,23,9,70,61,429
497,Kemba Walker\walkeke02,PG,80,2736,.516,.864,248,444,91,24,179,98,1770
498,John Wall\walljo01,PG,41,1410,.466,.726,150,393,57,45,158,80,797
499,Tyrone Wallace\wallaty01,PG,30,851,.466,.782,105,71,27,13,46,83,291
500,Taurean Waller-Prince\princta02,SF,82,2464,.516,.844,389,214,85,42,191,168,1158
501,Derrick Walton\waltode01,PG,16,147,.460,1.000,16,16,7,3,2,7,29
502,Jameel Warney\warneja01,PF,3,27,.583,.600,9,0,0,0,1,2,17
503,T.J. Warren\warretj01,SF,65,2142,.507,.757,333,85,65,41,85,149,1271
504,Travis Wear\weartr01,SF,17,228,.465,1.000,38,7,4,5,6,30,75
505,James Webb\webbja01,SF,10,120,.333,,24,4,1,0,4,10,16
506,Briante Weber\weberbr01,PG,18,237,.488,.800,35,22,18,5,15,28,50
506,Briante Weber\weberbr01,PG,13,118,.500,1.000,18,13,10,3,7,18,26
506,Briante Weber\weberbr01,PG,5,119,.476,.667,17,9,8,2,8,10,24
507,David West\westda01,C,73,999,.575,.759,238,138,47,75,80,120,495
508,Russell Westbrook\westbru01,PG,80,2914,.477,.737,804,820,147,20,381,200,2028
509,Andrew White\whitean01,SF,15,209,.466,.250,34,6,3,1,8,12,69
510,Derrick White\whitede01,PG,17,139,.606,.700,26,9,4,3,6,8,54
511,Okaro White\whiteok01,PF,6,80,.563,.667,11,2,1,1,1,6,20
512,Isaiah Whitehead\whiteis01,PG,16,180,.506,.684,26,20,8,2,24,23,100
513,Hassan Whiteside\whiteha01,C,54,1364,.542,.703,618,54,37,94,92,131,754
514,Andrew Wiggins\wiggian01,SF,82,2979,.481,.643,358,160,91,51,138,163,1452
515,Jacob Wiley\wileyja01,PF,5,33,.375,.500,11,2,1,0,0,4,4
