Rk,Player,Pos,G,GS,MP,FGA,eFG%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
55,Bojan Bogdanovic\bogdabo02,SF,80,80,2464,852,.565,205,.868,270,119,55,8,106,129,1141
56,Andrew Bogut\bogutan01,C,23,5,216,25,.680,2,1.000,78,15,4,13,19,40,36
57,Joel Bolomboy\bolomjo01,PF,6,0,38,6,.500,6,.500,10,0,2,0,2,3,9
58,Devin Booker\bookede01,SG,54,54,1865,1054,.501,329,.878,244,253,47,14,194,168,1346
59,Trevor Booker\booketr01,PF,68,7,1158,343,.528,93,.710,318,82,28,21,59,119,428
59,Trevor Booker\booketr01,PF,18,6,395,150,.523,43,.558,119,38,8,5,30,43,181
59,Trevor Booker\booketr01,PF,33,0,494,109,.569,39,.821,122,27,16,11,20,50,156
59,Trevor Booker\booketr01,PF,17,1,269,84,.482,11,.909,77,17,4,5,9,26,91
60,Chris Boucher\bouchch01,PF,1,0,1,1,.000,0,,1,0,0,0,0,0,0
61,Avery Bradley\bradlav01,SG,46,46,1433,625,.474,82,.768,116,94,51,8,101,92,656
61,Avery Bradley\bradlav01,SG,40,40,1268,570,.474,80,.763,94,83,46,7,93,80,601
61,Avery Bradley\bradlav01,SG,6,6,165,55,.482,2,1.000,22,11,5,1,8,12,55
62,Tony Bradley\bradlto01,C,9,0,29,11,.273,2,1.000,11,1,0,0,0,1,8
63,Corey Brewer\breweco01,SF-SG,72,18,1208,316,.498,90,.722,154,65,79,14,49,139,380
63,Corey Brewer\breweco01,SF,54,2,694,172,.477,51,.667,93,41,41,8,38,83,198
63,Corey Brewer\breweco01,SG,18,16,514,144,.524,39,.795,61,24,38,6,11,56,182
64,Malcolm Brogdon\brogdma01,PG,48,20,1436,503,.547,85,.882,156,152,41,13,66,128,625
65,Aaron Brooks\brookaa01,PG,32,1,189,69,.486,11,.727,17,20,6,0,11,28,75
66,Dillon Brooks\brookdi01,SF,82,74,2350,772,.501,166,.747,257,135,73,17,124,233,898
67,MarShon Brooks\brookma01,SG,7,1,193,102,.593,23,.870,21,25,11,3,16,6,141
68,Anthony Brown\brownan02,SF,1,0,4,1,1.500,0,,0,1,0,0,0,0,3
69,Bobby Brown\brownbo02,PG,20,0,115,58,.422,2,.500,7,11,4,0,9,6,50
70,Jaylen Brown\brownja02,SG,70,70,2152,803,.540,233,.644,346,114,70,26,124,181,1017
71,Lorenzo Brown\brownlo01,PG,14,0,139,34,.441,2,1.000,15,13,5,0,3,7,32
72,Markel Brown\brownma02,SG,4,0,31,7,.357,0,,5,2,0,0,2,6,5
73,Sterling Brown\brownst02,SG,54,4,776,205,.478,24,.875,143,25,31,13,25,80,217
74,Nicolas Brussino\brussni01,SF,4,0,10,2,.000,0,,3,0,0,0,0,0,0
75,Thomas Bryant\bryanth01,C,15,0,72,21,.405,9,.556,17,6,1,2,2,6,22
76,Reggie Bullock\bullore01,SF,62,52,1732,546,.603,49,.796,154,95,47,13,47,70,698
77,Trey Burke\burketr01,PG,36,9,785,384,.552,57,.649,71,170,24,4,43,43,461
78,Alec Burks\burksal01,SG,64,1,1059,414,.467,124,.863,192,67,37,8,60,75,494
79,Jimmy Butler\butleji01,SG,59,59,2164,921,.512,425,.854,314,288,116,24,108,78,1307
80,Dwight Buycks\buyckdw01,PG,29,0,427,198,.452,41,.878,41,59,19,2,39,39,215
81,Bruno Caboclo\cabocbr01,SF,12,0,107,31,.339,6,.833,22,4,3,4,4,8,26
81,Bruno Caboclo\cabocbr01,SF,2,0,7,2,.000,0,,1,1,1,0,0,1,0
81,Bruno Caboclo\cabocbr01,SF,10,0,100,29,.362,6,.833,21,3,2,4,4,7,26
82,Jose Calderon\caldejo01,PG,57,32,914,185,.624,30,.800,84,117,27,2,41,81,255
83,Kentavious Caldwell-Pope\caldwke01,SG,74,74,2458,798,.526,194,.789,387,162,106,16,97,145,992
84,Isaiah Canaan\canaais01,PG-SG,20,1,422,137,.460,51,.902,45,76,16,1,29,36,172
84,Isaiah Canaan\canaais01,SG,1,0,4,1,.000,0,,1,0,0,0,0,0,0
84,Isaiah Canaan\canaais01,PG,19,1,418,136,.463,51,.902,44,76,16,1,29,36,172
