Rk,Player,Pos,G,GS,MP,FGA,eFG%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
222,John Holland\hollajo02,SF,24,0,174,59,.381,13,.692,24,5,7,2,8,10,54
223,Rondae Hollis-Jefferson\holliro01,SF,68,59,1920,724,.481,316,.788,459,167,65,48,121,145,946
224,Richaun Holmes\holmeri01,C,48,2,746,241,.568,56,.661,211,61,20,29,25,97,311
225,Rodney Hood\hoodro01,SG,60,23,1616,751,.513,129,.860,165,95,45,12,70,105,882
225,Rodney Hood\hoodro01,SG,39,12,1084,552,.516,97,.876,111,65,30,7,63,64,655
225,Rodney Hood\hoodro01,SG,21,11,532,199,.505,32,.813,54,30,15,5,7,41,227
226,Scotty Hopson\hopsosc01,SG,1,0,8,1,.000,2,.500,0,1,0,0,1,0,1
227,Al Horford\horfoal01,C,72,72,2277,753,.553,120,.783,530,339,43,78,132,138,927
228,Danuel House\houseda01,SG,23,3,403,129,.492,31,.806,76,25,7,6,11,23,152
229,Dwight Howard\howardw01,C,81,81,2463,911,.556,582,.574,1012,105,48,131,208,249,1347
230,Josh Huestis\huestjo01,PF,69,10,982,182,.420,20,.300,161,20,15,43,26,82,159
231,R.J. Hunter\hunterj01,SG,5,1,45,20,.425,2,1.000,5,3,3,0,2,7,19
232,Vince Hunter\huntevi01,PF,4,0,7,5,.600,0,,3,0,0,1,1,0,6
233,Serge Ibaka\ibakase01,PF,76,76,2093,784,.552,118,.797,478,62,29,99,90,209,959
234,Andre Iguodala\iguodan01,SF,64,7,1622,320,.514,87,.632,246,210,54,38,67,99,384
235,Ersan Ilyasova\ilyaser01,PF,69,43,1729,613,.526,135,.778,405,90,61,26,72,157,750
235,Ersan Ilyasova\ilyaser01,PF,46,40,1175,401,.535,90,.800,251,51,44,17,43,92,501
235,Ersan Ilyasova\ilyaser01,PF,23,3,554,212,.509,45,.733,154,39,17,9,29,65,249
236,Joe Ingles\inglejo01,SF,82,81,2578,718,.609,83,.795,344,392,90,20,159,178,940
237,Andre Ingram\ingraan01,SG,2,0,64,17,.618,3,1.000,6,7,3,3,3,3,24
238,Brandon Ingram\ingrabr01,SF,59,59,1975,761,.497,282,.681,314,230,45,43,149,163,949
239,Kyrie Irving\irvinky01,PG,60,60,1931,1087,.568,261,.889,227,306,65,17,140,122,1466
240,Jonathan Isaac\isaacjo01,PF,27,10,536,145,.434,25,.760,99,18,33,30,27,48,145
241,Wesley Iwundu\iwundwe01,SF,62,12,1020,218,.447,47,.723,137,57,33,12,30,81,229
242,Jarrett Jack\jackja01,PG,62,56,1548,443,.455,75,.840,191,348,35,4,115,98,466
243,Aaron Jackson\jacksaa01,PG,1,0,35,9,.389,2,.500,3,1,0,0,1,4,8
244,Demetrius Jackson\jacksde01,PG,15,0,80,18,.417,2,.500,12,9,5,1,10,7,16
244,Demetrius Jackson\jacksde01,PG,12,0,63,14,.286,0,,11,5,4,1,9,6,8
244,Demetrius Jackson\jacksde01,PG,3,0,17,4,.875,2,.500,1,4,1,0,1,1,8
245,Josh Jackson\jacksjo02,SF,77,35,1959,932,.448,279,.634,351,119,80,35,146,218,1012
246,Justin Jackson\jacksju01,SF,68,41,1506,419,.510,36,.722,187,74,28,13,40,81,453
247,Reggie Jackson\jacksre01,PG,45,45,1201,577,.471,134,.836,125,238,27,4,99,87,656
248,LeBron James\jamesle01,PF,82,82,3026,1580,.590,531,.731,709,747,116,71,347,136,2251
249,Mike James\jamesmi02,PG,36,10,687,321,.424,84,.762,90,126,28,7,49,48,336
249,Mike James\jamesmi02,PG,32,10,669,312,.429,84,.762,89,120,27,7,48,45,332
249,Mike James\jamesmi02,PG,4,0,18,9,.222,0,,1,6,1,0,1,3,4
250,Al Jefferson\jeffeal01,C,36,1,484,208,.534,36,.833,143,30,16,23,21,66,252
251,Richard Jefferson\jefferi01,SF,20,0,163,27,.481,7,.571,17,15,2,1,5,11,30
252,Brandon Jennings\jennibr01,PG,14,0,205,72,.438,10,1.000,31,44,6,4,18,11,73
253,Jonas Jerebko\jerebjo01,PF,74,19,1134,341,.562,57,.807,246,42,24,12,27,127,429
254,Amir Johnson\johnsam01,C,74,18,1171,260,.558,85,.612,330,118,45,44,55,192,342
255,Brice Johnson\johnsbr02,PF,18,0,98,42,.476,5,.600,31,2,9,6,5,13,43
255,Brice Johnson\johnsbr02,PF,9,0,38,11,.636,2,1.000,13,1,6,2,4,7,16
255,Brice Johnson\johnsbr02,PF,9,0,60,31,.419,3,.333,18,1,3,4,1,6,27
256,Dakari Johnson\johnsda04,C,31,6,161,39,.564,20,.550,34,8,6,8,3,27,55
257,James Johnson\johnsja01,PF,73,41,1943,614,.550,162,.698,358,280,70,51,141,192,788
258,Joe Johnson\johnsjo02,SF,55,4,1205,360,.461,45,.889,172,83,18,7,49,67,372
258,Joe Johnson\johnsjo02,SF,32,3,700,226,.471,24,.833,107,45,12,6,31,32,233
258,Joe Johnson\johnsjo02,SF,23,1,505,134,.444,21,.952,65,38,6,1,18,35,139
259,Omari Johnson\johnsom01,PF,4,0,75,21,.524,0,,11,7,2,0,3,6,22
260,Stanley Johnson\johnsst04,SF,69,50,1894,560,.435,145,.772,252,112,95,14,77,169,599
261,Tyler Johnson\johnsty01,PG,72,39,2052,711,.518,129,.822,248,165,60,34,81,148,843
262,Wesley Johnson\johnswe01,SF,74,40,1486,368,.489,58,.741,216,61,76,62,55,146,403
263,Nikola Jokic\jokicni01,C,75,73,2443,1010,.554,313,.850,803,458,90,61,210,212,1385
264,Damian Jones\jonesda03,C,15,0,89,22,.500,5,.600,14,2,1,3,4,14,25
265,Derrick Jones\jonesde02,SF,20,8,245,53,.425,24,.667,38,9,4,13,7,24,61
265,Derrick Jones\jonesde02,SF,6,0,33,4,.500,6,.833,4,3,1,4,1,2,9
265,Derrick Jones\jonesde02,SF,14,8,212,49,.418,18,.611,34,6,3,9,6,22,52
266,Jalen Jones\jonesja04,SF,16,0,181,68,.456,19,.632,38,4,5,1,7,22,74
266,Jalen Jones\jonesja04,SF,4,0,19,4,.375,2,1.000,3,0,0,0,0,2,5
266,Jalen Jones\jonesja04,SF,12,0,162,64,.461,17,.588,35,4,5,1,7,20,69
267,Tyus Jones\jonesty01,PG,82,11,1467,328,.526,81,.877,132,232,95,6,59,110,416
268,DeAndre Jordan\jordade01,C,77,77,2424,578,.645,312,.580,1171,117,39,71,137,203,927
269,Cory Joseph\josepco01,PG,82,17,2210,604,.479,94,.745,263,260,80,18,87,141,649
270,Frank Kaminsky\kaminfr01,PF,79,4,1835,716,.501,194,.799,288,129,36,19,66,95,873
271,Enes Kanter\kanteen01,C,71,71,1830,713,.592,184,.848,780,105,36,37,122,187,1000
272,Luke Kennard\kennalu01,SG,73,9,1463,465,.530,76,.855,176,124,44,13,69,86,558
273,Michael Kidd-Gilchrist\kiddgmi01,SF,74,74,1850,560,.504,171,.684,302,71,51,32,53,143,681
274,Sean Kilpatrick\kilpase01,SG,52,1,640,294,.452,72,.889,87,46,13,5,38,33,330
274,Sean Kilpatrick\kilpase01,SG,16,0,183,87,.351,19,.947,35,15,2,1,16,8,79
274,Sean Kilpatrick\kilpase01,SG,23,0,205,82,.457,19,.947,25,15,5,1,9,15,93
274,Sean Kilpatrick\kilpase01,SG,4,0,38,18,.472,2,1.000,2,3,0,0,1,2,19
274,Sean Kilpatrick\kilpase01,SG,9,1,214,107,.528,32,.813,25,13,6,3,12,8,139
275,Maxi Kleber\klebima01,PF,72,36,1206,309,.553,59,.746,234,51,26,47,30,114,386
276,Furkan Korkmaz\korkmfu01,SG,14,0,80,28,.375,4,.500,11,4,2,1,2,12,23
277,Luke Kornet\kornelu01,PF,20,1,326,125,.504,11,.727,64,26,6,16,12,28,134
278,Kyle Korver\korveky01,SG,73,4,1574,484,.628,72,.889,165,88,31,27,55,130,672
279,Kosta Koufos\koufoko01,C,71,13,1391,389,.571,74,.446,472,87,47,32,49,146,477
280,Kyle Kuzma\kuzmaky01,PF,77,37,2401,1039,.527,208,.707,483,141,49,34,140,160,1242
281,Mindaugas Kuzminskas\kuzmimi01,SF,1,0,2,2,.000,0,,0,0,0,0,0,0,0
282,Skal Labissiere\labissk01,PF,60,28,1240,458,.467,118,.805,288,72,25,49,73,132,523
283,Jeremy Lamb\lambje01,SG,80,18,1967,832,.513,208,.861,324,186,61,32,93,138,1033
284,Shane Larkin\larkish01,PG,54,2,775,219,.454,37,.865,92,98,29,2,33,58,231
285,Joffrey Lauvergne\lauvejo01,C,55,1,534,190,.516,47,.638,171,41,9,3,33,45,226
286,Zach LaVine\lavinza01,SG,24,24,656,355,.442,107,.813,94,72,24,4,43,55,401
287,Jake Layman\laymaja01,SF,35,1,160,47,.340,3,.667,16,11,6,4,5,13,34
288,T.J. Leaf\leaftj01,PF,53,0,459,136,.537,16,.625,82,9,5,4,10,45,156
289,Courtney Lee\leeco01,SG,76,69,2310,755,.529,124,.919,224,180,80,17,84,109,913
290,Damion Lee\leeda03,SG,15,11,404,152,.457,29,.759,71,29,19,1,14,25,161
291,Walt Lemon Jr.\lemonwa01,PG,5,0,35,16,.469,3,.667,2,5,0,1,4,5,17
292,Alex Len\lenal01,C,69,13,1395,378,.567,231,.684,518,82,27,61,78,158,587
293,Kawhi Leonard\leonaka01,SF,9,9,210,111,.518,38,.816,42,21,18,9,16,9,146
294,Meyers Leonard\leoname01,C,33,2,254,78,.660,11,.818,70,17,7,0,10,36,112
295,Jon Leuer\leuerjo01,PF,8,0,136,36,.417,15,.867,32,5,1,3,7,16,43
296,Caris LeVert\leverca01,SF,71,10,1864,735,.493,187,.711,260,299,82,22,153,159,858
297,DeAndre Liggins\liggide01,SG,58,4,724,106,.467,5,.400,75,48,37,14,20,81,101
297,DeAndre Liggins\liggide01,SG,31,1,480,65,.423,5,.400,49,27,27,10,13,61,57
297,DeAndre Liggins\liggide01,SG,27,3,244,41,.537,0,,26,21,10,4,7,20,44
298,Damian Lillard\lillada01,PG,73,73,2670,1415,.519,538,.916,325,481,77,27,206,117,1962
299,Jeremy Lin\linje01,PG,1,1,25,12,.458,7,1.000,0,4,0,0,3,3,18
300,Shaun Livingston\livinsh01,PG,71,7,1129,343,.501,61,.820,131,140,35,21,58,117,394
301,Kevon Looney\looneke01,C,66,4,910,193,.583,77,.545,215,42,34,56,31,106,267
302,Brook Lopez\lopezbr01,C,74,72,1735,793,.536,158,.703,294,126,30,98,98,195,961
303,Robin Lopez\lopezro01,C,64,64,1690,645,.533,90,.756,290,124,14,53,107,109,756
304,Kevin Love\loveke01,C,59,59,1651,729,.552,266,.880,546,103,43,24,90,120,1039
305,Kyle Lowry\lowryky01,PG,78,78,2510,944,.553,261,.854,434,537,85,19,183,192,1267
306,Timothe Luwawu-Cabarrot\luwawti01,SF,52,7,807,267,.474,58,.793,72,54,12,5,38,97,299
307,Tyler Lydon\lydonty01,PF,1,0,2,0,,0,,0,0,0,0,0,0,0
308,Trey Lyles\lylestr01,PF,73,2,1391,550,.566,143,.706,347,91,30,34,61,111,724
309,Shelvin Mack\macksh01,PG,69,3,1365,414,.488,97,.711,166,272,54,8,89,91,473
310,Josh Magette\magetjo01,PG,18,0,216,46,.413,8,1.000,19,57,8,1,9,16,46
311,Ian Mahinmi\mahinia01,C,77,0,1145,248,.556,128,.703,312,53,38,42,100,230,366
312,Thon Maker\makerth01,C,74,12,1238,316,.460,93,.699,225,46,38,53,44,162,356
313,Boban Marjanovic\marjabo01,C,39,1,337,148,.534,97,.794,144,22,10,11,36,51,235
313,Boban Marjanovic\marjabo01,C,19,1,171,79,.519,45,.800,57,14,4,6,22,28,118
313,Boban Marjanovic\marjabo01,C,20,0,166,69,.551,52,.788,87,8,6,5,14,23,117
314,Lauri Markkanen\markkla01,PF,68,68,2020,862,.518,166,.843,508,79,39,40,83,103,1033
315,Jarell Martin\martija01,PF,73,36,1661,496,.480,116,.767,318,73,39,49,86,211,565
316,Frank Mason\masonfr01,PG,52,2,984,380,.420,115,.817,130,147,34,10,65,72,413
317,Mangok Mathiang\mathima01,C,4,0,20,7,.571,1,.000,10,0,1,0,0,5,8
318,Wesley Matthews\matthwe02,SF,63,62,2131,697,.516,101,.822,198,172,76,16,83,140,802
319,Luc Mbah a Moute\mbahalu01,PF,61,15,1564,345,.572,95,.684,186,55,72,25,68,100,460
320,James Michael McAdoo\mcadoja01,PF,3,0,18,7,.429,2,1.000,2,0,0,1,1,1,8
321,Patrick McCaw\mccawpa01,SG,57,10,961,225,.451,34,.765,82,81,43,10,41,67,229
322,CJ McCollum\mccolcj01,SG,81,81,2923,1505,.506,250,.836,321,272,77,35,151,168,1732
323,T.J. McConnell\mccontj01,PG,76,1,1706,421,.531,39,.795,226,303,92,13,112,122,478
324,Erik McCree\mccreer01,SF,4,0,8,2,.000,0,,1,0,1,0,1,0,0
325,Chris McCullough\mcculch01,PF,19,0,90,42,.440,14,.643,25,4,0,5,2,8,46
326,Doug McDermott\mcderdo01,SF,81,4,1768,508,.557,81,.790,200,79,19,16,56,122,630
326,Doug McDermott\mcderdo01,SF,55,1,1172,328,.541,53,.755,134,50,10,12,34,73,395
326,Doug McDermott\mcderdo01,SF,26,3,596,180,.586,28,.857,66,29,9,4,22,49,235
327,JaVale McGee\mcgeeja01,C,65,17,615,219,.621,52,.731,169,33,21,57,27,91,310
328,Rodney McGruder\mcgruro01,SG,18,2,299,73,.596,8,.500,32,17,8,3,4,21,91
329,Trey McKinney-Jones\mckintr01,SG,1,0,1,0,,0,,0,0,0,0,0,0,0
330,Alfonzo McKinnie\mckinal01,SF,14,0,53,15,.633,3,.667,7,1,1,1,3,8,21
331,Ben McLemore\mclembe01,SG,56,17,1091,373,.495,64,.828,139,51,38,15,61,139,422
332,Josh McRoberts\mcrobjo01,PF,2,0,6,1,.000,0,,0,0,0,0,0,2,0
333,Jodie Meeks\meeksjo01,SG,77,0,1119,393,.491,117,.863,126,70,29,4,37,55,487
334,Salah Mejri\mejrisa01,C,61,1,729,137,.642,66,.576,246,35,22,67,39,121,214
335,Jordan Mickey\mickejo01,PF,23,3,284,82,.488,19,.684,81,9,6,10,18,36,93
336,Khris Middleton\middlkh01,SF,82,82,2982,1272,.524,362,.884,429,328,119,21,191,270,1652
337,C.J. Miles\milescj01,SF,70,3,1337,599,.516,97,.835,152,55,37,21,39,134,699
338,Darius Miller\milleda01,SF,82,3,1944,487,.594,67,.866,164,111,28,17,58,160,637
339,Malcolm Miller\millema01,SF,15,4,126,28,.607,4,1.000,15,3,1,2,5,10,38
340,Patty Mills\millspa02,PG,82,36,2107,682,.523,118,.890,154,229,55,11,106,128,819
341,Paul Millsap\millspa01,PF,38,37,1143,435,.509,161,.696,245,105,39,44,73,99,555
342,Nikola Mirotic\mirotni01,PF,55,14,1494,684,.546,137,.818,405,80,44,39,62,108,859
342,Nikola Mirotic\mirotni01,PF,25,3,622,302,.588,79,.823,159,39,15,13,31,45,420
342,Nikola Mirotic\mirotni01,PF,30,11,872,382,.513,58,.810,246,41,29,26,31,63,439
343,Donovan Mitchell\mitchdo01,SG,79,71,2638,1362,.506,297,.805,296,291,118,27,215,213,1616
344,Naz Mitrou-Long\mitrona01,SG,1,0,1,1,1.500,0,,0,0,0,0,0,0,3
345,Malik Monk\monkma01,SG,63,0,854,425,.458,38,.842,66,91,20,9,49,60,421
346,Greg Monroe\monrogr01,C,51,14,1040,386,.565,119,.739,350,114,44,23,94,95,524
346,Greg Monroe\monrogr01,C,5,0,79,33,.485,4,.500,25,5,0,0,6,7,34
346,Greg Monroe\monrogr01,C,20,14,465,155,.626,46,.674,160,50,16,6,40,40,225
346,Greg Monroe\monrogr01,C,26,0,496,198,.530,69,.797,165,59,28,17,48,48,265
347,Luis Montero\montelu01,SG,2,0,8,1,.000,0,,2,0,0,0,2,0,0
348,Ben Moore\moorebe01,PF,2,0,9,0,,0,,1,1,0,0,0,4,0
349,E'Twaun Moore\mooreet01,SG,82,80,2586,832,.585,68,.706,238,187,79,12,102,182,1022
350,Eric Moreland\moreler01,PF,67,3,805,122,.541,29,.379,278,78,31,51,42,116,143
351,Jaylen Morris\morrija01,SG,6,0,98,32,.438,0,,16,7,2,1,6,2,28
352,Marcus Morris\morrima03,PF,54,21,1447,611,.499,154,.805,289,72,35,12,65,100,734
353,Markieff Morris\morrima02,PF,73,73,1968,687,.536,128,.820,409,142,56,38,127,216,841
354,Monte Morris\morrimo01,PG,3,0,25,6,.667,2,1.000,2,7,3,0,1,1,10
355,Johnathan Motley\motlejo01,PF,11,4,176,75,.540,28,.536,49,7,3,2,9,18,96
356,Timofey Mozgov\mozgoti01,C,31,13,359,93,.581,30,.767,98,11,5,13,33,39,131
357,Emmanuel Mudiay\mudiaem01,PG,64,14,1245,526,.433,129,.760,152,206,41,11,113,80,553
357,Emmanuel Mudiay\mudiaem01,PG,42,0,752,322,.460,78,.808,94,121,21,4,72,47,359
357,Emmanuel Mudiay\mudiaem01,PG,22,14,493,204,.390,51,.686,58,85,20,7,41,33,194
358,Shabazz Muhammad\muhamsh01,SF-SG,43,2,418,188,.465,50,.780,76,14,9,3,6,30,214
358,Shabazz Muhammad\muhamsh01,SF,32,2,301,121,.405,31,.710,45,7,5,2,5,23,120
358,Shabazz Muhammad\muhamsh01,SG,11,0,117,67,.575,19,.895,31,7,4,1,1,7,94
359,Xavier Munford\munfoxa02,SG,6,0,21,6,.167,2,.500,1,4,1,0,2,4,3
360,Dejounte Murray\murrade01,PG,81,48,1743,609,.451,148,.709,459,231,97,31,134,151,654
361,Jamal Murray\murraja01,PG,81,80,2565,1062,.529,253,.905,297,274,79,28,172,173,1352
362,Mike Muscala\muscami01,C,53,7,1060,312,.558,62,.919,230,51,31,27,42,80,405
363,Abdel Nader\naderab01,SF,48,1,522,149,.413,39,.590,71,26,15,10,34,45,146
364,Larry Nance\nancela02,C,66,27,1421,413,.584,137,.664,452,82,88,38,51,172,573
364,Larry Nance\nancela02,C,42,17,922,253,.603,87,.632,284,57,59,20,41,113,360
364,Larry Nance\nancela02,C,24,10,499,160,.553,50,.720,168,25,29,18,10,59,213
365,Shabazz Napier\napiesh01,PG,74,10,1535,531,.497,138,.841,170,150,81,14,90,84,644
366,Jameer Nelson\nelsoja01,PG,50,0,1013,244,.473,20,.800,104,179,27,4,67,81,247
366,Jameer Nelson\nelsoja01,PG,43,0,897,205,.507,17,.765,96,156,23,3,56,67,221
366,Jameer Nelson\nelsoja01,PG,7,0,116,39,.295,3,1.000,8,23,4,1,11,14,26
367,Raul Neto\netora01,PG,41,0,498,151,.520,35,.743,49,75,13,4,36,38,183
368,Georges Niang\niangge01,PF,9,0,32,11,.364,2,.500,9,3,2,0,3,1,9
369,Joakim Noah\noahjo01,C,7,0,40,10,.500,4,.500,14,4,2,2,4,5,12
370,Nerlens Noel\noelne01,C,30,6,472,105,.524,28,.750,168,20,31,22,26,59,131
371,Lucas Nogueira\noguelu01,C,49,3,418,80,.644,28,.679,87,22,23,43,16,49,122
372,Dirk Nowitzki\nowitdi01,C,77,77,1900,758,.547,108,.898,438,120,43,45,51,146,927
373,Frank Ntilikina\ntilila01,PG,78,9,1706,500,.414,68,.721,177,250,65,18,131,181,463
374,Jusuf Nurkic\nurkiju01,C,79,79,2088,951,.505,273,.630,708,143,64,111,183,247,1132
375,David Nwaba\nwabada01,SG,70,21,1646,423,.499,203,.655,326,104,59,29,77,158,555
376,Johnny O'Bryant\obryajo01,PF,36,0,379,171,.439,25,.840,93,14,9,6,15,45,171
377,Royce O'Neale\onealro01,SF,69,4,1150,284,.496,76,.803,236,95,36,16,55,105,343
378,Kyle O'Quinn\oquinky01,C,77,10,1387,384,.589,127,.772,470,158,36,98,100,192,550
379,Semi Ojeleye\ojelese01,PF,73,0,1150,188,.452,41,.610,161,20,21,4,25,91,195
380,Emeka Okafor\okafoem01,C,26,19,353,95,.505,22,.818,120,8,8,25,13,30,114
381,Jahlil Okafor\okafoja01,C,28,0,353,138,.562,29,.724,85,12,3,18,21,51,176
381,Jahlil Okafor\okafoja01,C,2,0,25,9,.444,4,.500,9,1,0,2,3,7,10
381,Jahlil Okafor\okafoja01,C,26,0,328,129,.570,25,.760,76,11,3,16,18,44,166
382,Victor Oladipo\oladivi01,SG,75,75,2552,1342,.537,368,.799,390,323,177,57,219,175,1735
383,Kelly Olynyk\olynyke01,PF,76,22,1779,636,.580,174,.770,431,207,62,35,147,222,872
384,Chinanu Onuaku\onuakch01,C,1,0,22,5,.400,0,,4,1,0,0,3,4,4
385,Cedi Osman\osmande01,SF,61,12,672,186,.570,46,.565,120,41,22,3,32,78,238
386,Kelly Oubre\oubreke01,SF,81,11,2231,790,.482,233,.820,363,98,80,35,90,234,953
387,Zaza Pachulia\pachuza01,C,69,57,972,264,.564,93,.806,321,109,38,17,72,122,373
388,Marcus Paige\paigema01,PG,5,0,28,14,.357,2,1.000,4,3,0,0,0,0,12
389,Georgios Papagiannis\papagge01,C,17,0,122,42,.429,0,,37,9,4,6,8,12,36
389,Georgios Papagiannis\papagge01,C,16,0,118,41,.415,0,,36,9,2,6,8,12,34
389,Georgios Papagiannis\papagge01,C,1,0,4,1,1.000,0,,1,0,2,0,0,0,2
390,Jabari Parker\parkeja01,PF,31,3,743,332,.529,54,.741,151,59,25,10,45,50,391
391,Tony Parker\parketo01,PG,55,21,1071,388,.472,78,.705,95,195,28,1,68,52,421
392,Chandler Parsons\parsoch01,SF,36,8,691,234,.571,27,.630,90,69,18,11,35,53,284
393,Patrick Patterson\pattepa01,PF,82,3,1270,266,.523,46,.870,193,57,48,23,33,87,318
394,Justin Patton\pattoju01,C,1,0,4,2,.500,0,,0,0,1,0,0,1,2
395,Brandon Paul\paulbr01,SG,64,2,576,127,.492,43,.512,68,37,25,7,29,58,147
396,Chris Paul\paulch01,PG,58,58,1847,798,.550,221,.919,313,457,96,14,128,141,1081
397,Adreian Payne\paynead01,PF,5,0,43,10,.800,6,.833,9,0,2,0,2,6,21
398,Cameron Payne\payneca01,PG,25,14,582,215,.486,16,.750,69,113,26,9,36,44,221
399,Elfrid Payton\paytoel01,PG,63,63,1808,667,.516,168,.649,274,393,83,22,168,147,797
399,Elfrid Payton\paytoel01,PG,44,44,1257,458,.547,114,.632,174,275,64,16,114,97,573
399,Elfrid Payton\paytoel01,PG,19,19,551,209,.447,54,.685,100,118,19,6,54,50,224
400,Gary Payton\paytoga02,PG,23,6,221,74,.446,9,.333,44,21,7,3,7,30,69
400,Gary Payton\paytoga02,PG,12,6,106,33,.424,3,.667,17,9,3,1,3,17,30
400,Gary Payton\paytoga02,PG,11,0,115,41,.463,6,.167,27,12,4,2,4,13,39
401,Kendrick Perkins\perkike01,C,1,0,15,2,.500,2,.500,1,2,1,0,1,1,3
402,London Perrantes\perralo01,PG,14,0,66,13,.154,5,.600,4,5,2,1,1,6,7
403,Alec Peters\peteral01,PF,20,0,225,74,.500,10,.800,37,12,2,2,4,13,82
404,Marshall Plumlee\plumlma02,C,8,0,52,3,.333,16,.750,17,2,0,1,3,10,14
405,Mason Plumlee\plumlma01,C,74,26,1439,368,.601,179,.458,400,142,49,81,103,184,524
406,Miles Plumlee\plumlmi01,C,55,35,918,180,.583,60,.450,228,45,17,30,63,79,237
407,Jakob Poeltl\poeltja01,C,82,0,1524,384,.660,101,.594,393,57,39,100,85,212,567
408,Quincy Pondexter\pondequ01,SF,23,1,196,49,.316,17,.824,27,9,8,2,11,24,45
409,Otto Porter\porteot01,SF,77,77,2432,885,.581,128,.828,492,157,116,41,75,151,1134
410,Bobby Portis\portibo01,PF,73,4,1643,811,.520,156,.769,498,123,50,23,103,130,964
411,Kristaps Porzingis\porzikr01,PF,48,48,1553,889,.489,275,.793,316,57,36,115,93,141,1088
412,Dwight Powell\poweldw01,C,79,25,1672,430,.626,185,.719,444,91,67,32,59,186,671
413,Norman Powell\powelno01,SG,70,18,1062,374,.472,39,.821,119,89,37,16,66,111,385
414,Alex Poythress\poythal01,PF,25,0,104,26,.500,0,,17,2,3,1,2,16,26
415,Jacob Pullen\pulleja01,PG,3,0,6,2,.500,0,,0,0,0,0,1,0,2
416,Rodney Purvis\purviro01,SG,16,2,290,107,.388,15,.867,27,17,3,3,10,26,96
417,Zhou Qi\qizh01,C,18,0,124,32,.219,12,.667,22,2,2,14,10,14,22
418,Tim Quarterman\quartti01,SG,3,0,13,3,.333,2,1.000,3,1,0,0,2,1,4
419,Ivan Rabb\rabbiv01,PF,36,5,516,152,.566,36,.806,158,32,12,13,35,55,201
420,Julius Randle\randlju01,C,82,49,2190,904,.563,425,.718,654,210,43,45,213,274,1323
421,Zach Randolph\randoza01,PF,59,57,1508,763,.507,107,.785,397,127,42,10,116,119,857
422,Xavier Rathan-Mayes\rathaxa01,SG,5,0,118,42,.298,9,.444,5,18,6,3,11,18,29
423,J.J. Redick\redicjj01,SG,70,70,2116,879,.569,218,.904,178,210,35,6,103,123,1198
424,Davon Reed\reedda01,SG,21,1,242,76,.362,12,.667,39,13,10,2,10,17,63
425,Willie Reed\reedwi02,C,42,5,428,121,.674,55,.582,121,10,9,22,19,56,195
425,Willie Reed\reedwi02,C,39,5,419,120,.671,55,.582,120,9,9,22,19,53,193
425,Willie Reed\reedwi02,C,3,0,9,1,1.000,0,,1,1,0,0,0,3,2
426,Josh Richardson\richajo01,SF,81,81,2689,885,.523,142,.845,285,231,121,75,140,199,1045
427,Malachi Richardson\richama01,SG,26,4,324,90,.400,22,.773,34,13,10,1,10,27,89
427,Malachi Richardson\richama01,SG,25,4,319,88,.398,22,.773,33,13,10,1,10,27,87
427,Malachi Richardson\richama01,SG,1,0,5,2,.500,0,,1,0,0,0,0,0,2
428,Austin Rivers\riverau01,SG,61,59,2057,805,.508,159,.642,145,242,74,16,109,152,920
429,Andre Roberson\roberan03,SG,39,39,1037,162,.562,38,.316,185,46,45,35,30,89,194
430,Devin Robinson\robinde01,SF,1,0,13,3,.333,0,,5,0,1,0,0,2,2
431,Glenn Robinson\robingl02,SF,23,1,338,85,.506,11,.818,37,17,13,1,5,14,95
432,Rajon Rondo\rondora01,PG,65,63,1705,494,.518,46,.543,263,533,70,10,151,119,537
433,Derrick Rose\rosede01,PG,25,7,420,186,.454,46,.870,35,37,7,4,35,16,209
433,Derrick Rose\rosede01,PG,16,7,308,132,.462,41,.854,29,26,3,4,28,14,157
433,Derrick Rose\rosede01,PG,9,0,112,54,.435,5,1.000,6,11,4,0,7,2,52
434,Terrence Ross\rosste01,SG,24,20,600,191,.476,36,.750,73,38,27,11,29,45,209
435,Terry Rozier\roziete01,PG,80,16,2068,800,.491,149,.772,376,232,80,19,80,123,900
436,Ricky Rubio\rubiori01,PG,77,77,2254,827,.476,254,.866,351,410,121,11,207,206,1008
437,D'Angelo Russell\russeda01,PG,48,35,1234,672,.481,131,.740,189,249,36,17,147,93,743
438,Domantas Sabonis\sabondo01,C,74,19,1810,661,.524,224,.750,572,151,40,32,137,220,861
439,JaKarr Sampson\sampsja02,SF,22,6,344,81,.574,16,.625,78,9,8,22,8,48,103
440,Dario Saric\saricda01,PF,78,73,2310,890,.541,207,.860,520,202,51,20,148,160,1141
441,Tomas Satoransky\satorto01,SG,73,30,1643,384,.585,96,.781,233,286,52,15,83,131,524
442,Dennis Schroder\schrode01,PG,67,67,2078,1146,.469,265,.849,208,417,72,6,183,147,1301
443,Mike Scott\scottmi01,PF,76,1,1406,524,.590,76,.658,247,80,23,10,79,148,668
444,Thabo Sefolosha\sefolth01,SF,38,6,806,240,.558,54,.815,161,33,52,12,30,59,312
445,Wayne Selden\seldewa01,SG,35,9,692,269,.522,59,.746,56,66,18,5,54,59,325
446,Ramon Sessions\sessira01,PG,28,3,392,117,.393,57,.772,38,77,14,2,30,29,136
446,Ramon Sessions\sessira01,PG,13,3,167,53,.340,15,.800,18,27,7,1,15,14,48
