"Rank,""Country"",""2018 Population"",""2017 Population"",""Growth Rate"",""Area"",""2018 Density"""
"144,""Botswana"",2333.201,2291.661,1.0181265902766596,582000,4.008936426116838"
"145,""Lesotho"",2263.01,2233.339,1.013285488678611,30355,74.55147422170977"
"146,""Gambia"",2163.765,2100.5679999999998,1.0300856720658413,10689,202.42913275329778"
"147,""Macedonia"",2085.051,2083.16,1.0009077555252597,25713,81.08937113522343"
"148,""Slovenia"",2081.26,2079.976,1.000617314815171,20273,102.66166822867855"
"149,""Gabon"",2067.561,2025.1370000000002,1.0209487061862974,267668,7.724348820180224"
"150,""Latvia"",1929.9379999999999,1949.67,0.989879312909364,64559,29.894174321163582"
"151,""Guinea-Bissau"",1907.2679999999998,1861.283,1.0247060763999885,36125,52.79634602076124"
"152,""Bahrain"",1566.993,1492.5839999999998,1.0498524706147192,765,2048.356862745098"
"153,""Swaziland"",1391.385,1367.254,1.0176492443978955,17364,80.13044229440221"
"154,""Trinidad and Tobago"",1372.598,1369.125,1.002536656623756,5130,267.56296296296296"
"155,""Timor-Leste"",1324.094,1296.3110000000001,1.0214323568958374,14874,89.02070727443862"
"156,""Equatorial Guinea"",1313.894,1267.6889999999999,1.0364482140335682,28051,46.83947096360201"
"157,""Estonia"",1306.788,1309.632,0.9978283975956604,45227,28.893979260176444"
"158,""Mauritius"",1268.315,1265.138,1.0025111885027562,2040,621.7230392156863"
"159,""Cyprus"",1189.085,1179.5510000000002,1.0080827365667104,9251,128.53583396389578"
"160,""Djibouti"",971.408,956.985,1.0150712916085414,23200,41.871034482758624"
"161,""Fiji"",912.2410000000001,905.502,1.007442280635493,18272,49.92562390542908"
"162,""Reunion"",883.247,876.562,1.0076263858118422,2511,351.7510951812027"
"163,""Comoros"",832.347,813.9119999999999,1.022649868781883,1862,447.01772287862514"
"164,""Bhutan"",817.054,807.61,1.0116937630787137,38394,21.28077303745377"
"165,""Guyana"",782.225,777.8589999999999,1.0056128424303121,214969,3.638780475324349"
"166,""Macau"",632.418,622.567,1.0158231965394888,30,21080.6"
"167,""Montenegro"",629.219,628.96,1.0004117908929027,13812,45.55596582681726"
"168,""Solomon Islands"",623.281,611.3430000000001,1.019527499292541,28896,21.569802048726466"
"169,""Luxembourg"",590.321,583.455,1.0117678312809042,2586,228.27571539056459"
"170,""Suriname"",568.3009999999999,563.4019999999999,1.0086953897927236,163820,3.4690575021364904"
"171,""Western Sahara"",567.4209999999999,552.628,1.0267684590719253,266000,2.1331616541353378"
"172,""Cape Verde"",553.335,546.388,1.012714408076312,4033,137.2018348623853"
"173,""Guadeloupe"",449.173,449.56800000000004,0.9991213787458181,1628,275.90479115479116"
"174,""Maldives"",444.259,436.33,1.018172025760319,300,1480.8633333333332"
"175,""Brunei"",434.07599999999996,428.69699999999995,1.0125473236341753,5765,75.29505637467476"
"176,""Malta"",432.089,430.835,1.0029106270381933,316,1367.370253164557"
"177,""Bahamas"",399.285,395.361,1.009925106421726,13943,28.636950441081545"
"178,""Martinique"",385.065,384.89599999999996,1.0004390796474893,1128,341.36968085106383"
"179,""Belize"",382.444,374.681,1.0207189582604936,22966,16.652616911956805"
"180,""Iceland"",337.78,335.025,1.008223266920379,103000,3.279417475728155"
"181,""French Guiana"",289.763,282.731,1.0248716978329224,83534,3.4688031220820266"
"182,""Barbados"",286.388,285.719,1.0023414613658874,430,666.0186046511628"
"183,""French Polynesia"",285.85900000000004,283.007,1.0100774892493827,4167,68.60067194624432"
"184,""Vanuatu"",282.117,276.244,1.0212601902665759,12189,23.14521289687423"
"185,""New Caledonia"",279.82099999999997,276.255,1.0129083636495266,18575,15.064387617765812"
"186,""Mayotte"",259.682,253.045,1.0262285364263275,374,694.336898395722"
"187,""Sao Tome and Principe"",208.81799999999998,204.327,1.0219794740783155,964,216.61618257261406"
"188,""Samoa"",197.695,196.44,1.006388719201792,2842,69.56192821956368"
"189,""Saint Lucia"",179.667,178.84400000000002,1.0046017758493435,616,291.6672077922078"
"190,""Guam"",165.718,164.229,1.0090666082117041,549,301.8542805100182"
"191,""Curacao"",161.577,160.539,1.006465718610431,444,363.9121621621622"
"192,""Kiribati"",118.414,116.398,1.0173198852213956,811,146.0098643649815"
"193,""Saint Vincent and the Grenadines"",110.2,109.897,1.002757127128129,389,283.2904884318766"
"194,""Tonga"",109.008,108.02,1.0091464543603037,747,145.9277108433735"
